CUSTOMER INVOICE NUMBER;CONCEPT;CUSTOMER;PROVINCE;SECTOR;CUSTOMER IMPORT;CUSTOMER INVOICE DATE;CUSTOMER PAYMENT;SUPPLIER;ZONE;TYPE;IMPORT SUPPLIER
348;TEAMS;CUSTOMER-0006;BARCELONA;BANK; 750,00 € ;26/12/2021;NO;PROV-002;ZONE 1;EXTERNAL; 187,50 € 
349;PROGRAM;CUSTOMER-0007;BARCELONA;BANK; 950,00 € ;09/11/2019;NO;PROV-001;ZONE 1;EXTERNAL; 237,50 € 
350;TRAINING;CUSTOMER-0008;ALICANTE;METAL; 680,00 € ;02/01/2021;NO;PROV-005;ZONE 2;INTERNAL; 170,00 € 
351;CONSULTING;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 950,00 € ;22/03/2021;NO;PROV-005;ZONE 2;INTERNAL; 237,50 € 
352;DEVELOPMENT;CUSTOMER-0010;MADRID;BANK; 1.500,00 € ;27/02/2019;NO;PROV-003;ZONE 2;INTERNAL; 375,00 € 
353;TEAMS;CUSTOMER-0001;MADRID;METAL; 5.000,00 € ;07/12/2020;YES;PROV-005;ZONE 2;INTERNAL; 1.250,00 € 
354;PROGRAM;CUSTOMER-0010;MADRID;BANK; 6.500,00 € ;22/06/2020;YES;PROV-003;ZONE 2;INTERNAL; 1.625,00 € 
355;TRAINING;CUSTOMER-0001;MADRID;METAL; 8.500,00 € ;20/07/2019;YES;PROV-005;ZONE 2;INTERNAL; 2.125,00 € 
356;CONSULTING;CUSTOMER-0002;ALICANTE;CONSTRUCTION; 1.200,00 € ;04/04/2021;YES;PROV-005;ZONE 2;INTERNAL; 300,00 € 
357;DEVELOPMENT;CUSTOMER-0003;MADRID;CONSTRUCTION; 300,00 € ;28/09/2020;YES;PROV-003;ZONE 2;INTERNAL; 120,00 € 
358;PROJECT;CUSTOMER-0004;MADRID;CONSTRUCTION; 200,00 € ;17/04/2019;YES;PROV-001;ZONE 1;EXTERNAL; 80,00 € 
359;TEAMS;CUSTOMER-0005;BARCELONA;METAL; 150,00 € ;16/08/2021;YES;PROV-002;ZONE 1;EXTERNAL; 60,00 € 
360;CONSULTING;CUSTOMER-0006;BARCELONA;BANK; 120,00 € ;06/02/2020;YES;PROV-001;ZONE 1;EXTERNAL; 48,00 € 
361;DEVELOPMENT;CUSTOMER-0007;BARCELONA;BANK; 300,00 € ;02/01/2019;NO;PROV-005;ZONE 2;INTERNAL; 120,00 € 
362;PROJECT;CUSTOMER-0008;ALICANTE;METAL; 350,00 € ;01/05/2020;NO;PROV-003;ZONE 2;INTERNAL; 140,00 € 
363;TEAMS;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 300,00 € ;19/03/2019;NO;PROV-005;ZONE 2;INTERNAL; 120,00 € 
364;PROGRAM;CUSTOMER-0010;MADRID;BANK; 120,00 € ;23/09/2020;NO;PROV-005;ZONE 2;INTERNAL; 48,00 € 
365;TRAINING;CUSTOMER-0004;MADRID;CONSTRUCTION; 150,00 € ;25/11/2019;YES;PROV-003;ZONE 2;INTERNAL; 60,00 € 
366;CONSULTING;CUSTOMER-0005;BARCELONA;METAL; 8.500,00 € ;15/05/2021;YES;PROV-005;ZONE 2;INTERNAL; 3.400,00 € 
367;DEVELOPMENT;CUSTOMER-0005;BARCELONA;METAL; 1.200,00 € ;11/10/2020;YES;PROV-003;ZONE 2;INTERNAL; 480,00 € 
368;PROJECT;CUSTOMER-0006;BARCELONA;BANK; 300,00 € ;26/01/2021;YES;PROV-005;ZONE 2;INTERNAL; 120,00 € 
369;TEAMS;CUSTOMER-0007;BARCELONA;BANK; 200,00 € ;10/04/2020;YES;PROV-005;ZONE 2;INTERNAL; 80,00 € 
370;PROGRAM;CUSTOMER-0008;ALICANTE;METAL; 150,00 € ;29/11/2021;YES;PROV-003;ZONE 2;INTERNAL; 60,00 € 
371;TRAINING;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 120,00 € ;06/04/2021;YES;PROV-001;ZONE 1;EXTERNAL; 48,00 € 
372;CONSULTING;CUSTOMER-0010;MADRID;BANK; 300,00 € ;26/05/2019;YES;PROV-002;ZONE 1;EXTERNAL; 120,00 € 
373;DEVELOPMENT;CUSTOMER-0001;MADRID;METAL; 350,00 € ;24/03/2019;YES;PROV-001;ZONE 1;EXTERNAL; 140,00 € 
374;PROJECT;CUSTOMER-0010;MADRID;BANK; 8.500,00 € ;23/02/2019;YES;PROV-004;ZONE 1;EXTERNAL; 3.400,00 € 
375;TEAMS;CUSTOMER-0001;MADRID;METAL; 1.200,00 € ;25/04/2021;YES;PROV-004;ZONE 1;EXTERNAL; 480,00 € 
376;PROGRAM;CUSTOMER-0002;ALICANTE;CONSTRUCTION; 300,00 € ;22/07/2020;YES;PROV-004;ZONE 1;EXTERNAL; 120,00 € 
377;TRAINING;CUSTOMER-0003;MADRID;CONSTRUCTION; 200,00 € ;23/12/2021;NO;PROV-004;ZONE 1;EXTERNAL; 80,00 € 
378;CONSULTING;CUSTOMER-0004;MADRID;CONSTRUCTION; 150,00 € ;09/03/2019;NO;PROV-004;ZONE 1;EXTERNAL; 60,00 € 
379;DEVELOPMENT;CUSTOMER-0005;BARCELONA;METAL; 120,00 € ;10/03/2021;NO;PROV-005;ZONE 2;INTERNAL; 48,00 € 
380;PROJECT;CUSTOMER-0006;BARCELONA;BANK; 300,00 € ;01/11/2020;NO;PROV-003;ZONE 2;INTERNAL; 120,00 € 
381;TEAMS;CUSTOMER-0007;BARCELONA;BANK; 350,00 € ;19/01/2020;NO;PROV-005;ZONE 2;INTERNAL; 140,00 € 
382;PROGRAM;CUSTOMER-0008;ALICANTE;METAL; 300,00 € ;29/11/2020;NO;PROV-005;ZONE 2;INTERNAL; 120,00 € 
383;TRAINING;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 120,00 € ;21/08/2021;NO;PROV-003;ZONE 2;INTERNAL; 48,00 € 
384;CONSULTING;CUSTOMER-0010;MADRID;BANK; 150,00 € ;17/11/2019;YES;PROV-005;ZONE 2;INTERNAL; 60,00 € 
385;DEVELOPMENT;CUSTOMER-0004;MADRID;CONSTRUCTION; 1.200,00 € ;09/06/2019;YES;PROV-003;ZONE 2;INTERNAL; 480,00 € 
386;PROJECT;CUSTOMER-0004;MADRID;CONSTRUCTION; 800,00 € ;15/02/2019;YES;PROV-005;ZONE 2;INTERNAL; 320,00 € 
387;TEAMS;CUSTOMER-0005;BARCELONA;METAL; 750,00 € ;30/01/2019;YES;PROV-005;ZONE 2;INTERNAL; 300,00 € 
388;PROGRAM;CUSTOMER-0006;BARCELONA;BANK; 4.500,00 € ;12/01/2020;YES;PROV-003;ZONE 2;INTERNAL; 1.800,00 € 
389;TRAINING;CUSTOMER-0007;BARCELONA;BANK; 500,00 € ;27/09/2020;YES;PROV-001;ZONE 1;EXTERNAL; 200,00 € 
390;CONSULTING;CUSTOMER-0003;MADRID;CONSTRUCTION; 750,00 € ;02/06/2020;YES;PROV-002;ZONE 1;EXTERNAL; 300,00 € 
391;DEVELOPMENT;CUSTOMER-0004;MADRID;CONSTRUCTION; 950,00 € ;28/05/2020;YES;PROV-001;ZONE 1;EXTERNAL; 427,50 € 
392;PROJECT;CUSTOMER-0005;BARCELONA;METAL; 680,00 € ;07/11/2020;NO;PROV-005;ZONE 2;INTERNAL; 306,00 € 
393;TEAMS;CUSTOMER-0005;BARCELONA;METAL; 950,00 € ;10/08/2021;NO;PROV-003;ZONE 2;INTERNAL; 427,50 € 
394;CONSULTING;CUSTOMER-0006;BARCELONA;BANK; 1.500,00 € ;28/08/2019;NO;PROV-005;ZONE 2;INTERNAL; 675,00 € 
395;DEVELOPMENT;CUSTOMER-0007;BARCELONA;BANK; 5.000,00 € ;13/03/2020;YES;PROV-005;ZONE 2;INTERNAL; 2.250,00 € 
396;PROJECT;CUSTOMER-0008;ALICANTE;METAL; 6.500,00 € ;23/01/2020;YES;PROV-003;ZONE 2;INTERNAL; 2.925,00 € 
397;TEAMS;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 8.500,00 € ;02/07/2019;YES;PROV-005;ZONE 2;INTERNAL; 3.825,00 € 
398;PROGRAM;CUSTOMER-0010;MADRID;BANK; 1.200,00 € ;18/01/2021;YES;PROV-003;ZONE 2;INTERNAL; 540,00 € 
399;TRAINING;CUSTOMER-0001;MADRID;METAL; 300,00 € ;12/05/2020;YES;PROV-005;ZONE 2;INTERNAL; 135,00 € 
400;CONSULTING;CUSTOMER-0010;MADRID;BANK; 200,00 € ;03/07/2021;YES;PROV-005;ZONE 2;INTERNAL; 90,00 € 
401;DEVELOPMENT;CUSTOMER-0001;MADRID;METAL; 150,00 € ;01/11/2019;YES;PROV-003;ZONE 2;INTERNAL; 67,50 € 
402;PROJECT;CUSTOMER-0002;ALICANTE;CONSTRUCTION; 120,00 € ;24/02/2019;YES;PROV-001;ZONE 1;EXTERNAL; 54,00 € 
403;TEAMS;CUSTOMER-0003;MADRID;CONSTRUCTION; 300,00 € ;23/02/2021;YES;PROV-002;ZONE 1;EXTERNAL; 135,00 € 
404;PROGRAM;CUSTOMER-0004;MADRID;CONSTRUCTION; 350,00 € ;13/12/2020;YES;PROV-001;ZONE 1;EXTERNAL; 157,50 € 
405;TRAINING;CUSTOMER-0005;BARCELONA;METAL; 300,00 € ;11/05/2019;YES;PROV-004;ZONE 1;EXTERNAL; 135,00 € 
406;CONSULTING;CUSTOMER-0006;BARCELONA;BANK; 120,00 € ;07/02/2020;YES;PROV-004;ZONE 1;EXTERNAL; 54,00 € 
407;DEVELOPMENT;CUSTOMER-0007;BARCELONA;BANK; 150,00 € ;07/08/2020;YES;PROV-004;ZONE 1;EXTERNAL; 67,50 € 
408;PROJECT;CUSTOMER-0008;ALICANTE;METAL; 8.500,00 € ;18/02/2019;YES;PROV-004;ZONE 1;EXTERNAL; 3.825,00 € 
409;TEAMS;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 1.200,00 € ;28/09/2021;NO;PROV-004;ZONE 1;EXTERNAL; 540,00 € 
410;PROGRAM;CUSTOMER-0010;MADRID;BANK; 300,00 € ;31/07/2021;NO;PROV-005;ZONE 2;INTERNAL; 135,00 € 
411;TRAINING;CUSTOMER-0004;MADRID;CONSTRUCTION; 200,00 € ;23/12/2020;NO;PROV-003;ZONE 2;INTERNAL; 90,00 € 
412;CONSULTING;CUSTOMER-0005;BARCELONA;METAL; 150,00 € ;09/12/2019;NO;PROV-005;ZONE 2;INTERNAL; 67,50 € 
413;DEVELOPMENT;CUSTOMER-0005;BARCELONA;METAL; 120,00 € ;26/08/2021;NO;PROV-005;ZONE 2;INTERNAL; 54,00 € 
414;DEVELOPMENT;CUSTOMER-0006;BARCELONA;BANK; 300,00 € ;21/05/2021;NO;PROV-003;ZONE 2;INTERNAL; 135,00 € 
415;PROJECT;CUSTOMER-0007;BARCELONA;BANK; 350,00 € ;02/01/2021;NO;PROV-005;ZONE 2;INTERNAL; 157,50 € 
416;TEAMS;CUSTOMER-0008;ALICANTE;METAL; 300,00 € ;20/07/2019;YES;PROV-003;ZONE 2;INTERNAL; 90,00 € 
417;PROGRAM;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 120,00 € ;26/02/2019;YES;PROV-005;ZONE 2;INTERNAL; 36,00 € 
418;TRAINING;CUSTOMER-0010;MADRID;BANK; 150,00 € ;15/02/2021;YES;PROV-005;ZONE 2;INTERNAL; 45,00 € 
419;CONSULTING;CUSTOMER-0001;MADRID;METAL; 1.200,00 € ;20/11/2020;YES;PROV-003;ZONE 2;INTERNAL; 360,00 € 
420;DEVELOPMENT;CUSTOMER-0010;MADRID;BANK; 800,00 € ;04/12/2021;YES;PROV-001;ZONE 1;EXTERNAL; 240,00 € 
421;PROJECT;CUSTOMER-0001;MADRID;METAL; 750,00 € ;30/01/2019;YES;PROV-002;ZONE 1;EXTERNAL; 225,00 € 
422;TEAMS;CUSTOMER-0002;ALICANTE;CONSTRUCTION; 4.500,00 € ;15/01/2021;YES;PROV-005;ZONE 2;INTERNAL; 1.350,00 € 
423;PROGRAM;CUSTOMER-0003;MADRID;CONSTRUCTION; 500,00 € ;12/01/2021;YES;PROV-003;ZONE 2;INTERNAL; 150,00 € 
424;TRAINING;CUSTOMER-0004;MADRID;CONSTRUCTION; 750,00 € ;28/06/2019;YES;PROV-005;ZONE 2;INTERNAL; 225,00 € 
425;CONSULTING;CUSTOMER-0005;BARCELONA;METAL; 950,00 € ;17/01/2020;YES;PROV-005;ZONE 2;INTERNAL; 285,00 € 
426;DEVELOPMENT;CUSTOMER-0006;BARCELONA;BANK; 680,00 € ;22/01/2021;YES;PROV-003;ZONE 2;INTERNAL; 204,00 € 
427;PROJECT;CUSTOMER-0007;BARCELONA;BANK; 950,00 € ;15/05/2020;YES;PROV-005;ZONE 2;INTERNAL; 285,00 € 
428;TEAMS;CUSTOMER-0008;ALICANTE;METAL; 1.500,00 € ;02/12/2019;YES;PROV-003;ZONE 2;INTERNAL; 450,00 € 
429;CONSULTING;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 5.000,00 € ;13/04/2020;YES;PROV-005;ZONE 2;INTERNAL; 1.500,00 € 
430;DEVELOPMENT;CUSTOMER-0010;MADRID;BANK; 6.500,00 € ;19/10/2020;YES;PROV-005;ZONE 2;INTERNAL; 1.950,00 € 
431;PROJECT;CUSTOMER-0004;MADRID;CONSTRUCTION; 1.200,00 € ;19/04/2020;YES;PROV-003;ZONE 2;INTERNAL; 360,00 € 
432;TEAMS;CUSTOMER-0005;BARCELONA;METAL; 800,00 € ;14/09/2019;YES;PROV-001;ZONE 1;EXTERNAL; 240,00 € 
433;PROGRAM;CUSTOMER-0006;BARCELONA;BANK; 750,00 € ;24/05/2021;YES;PROV-002;ZONE 1;EXTERNAL; 225,00 € 
434;TRAINING;CUSTOMER-0007;BARCELONA;BANK; 4.500,00 € ;13/05/2019;YES;PROV-001;ZONE 1;EXTERNAL; 1.350,00 € 
435;CONSULTING;CUSTOMER-0003;MADRID;CONSTRUCTION; 500,00 € ;26/11/2021;YES;PROV-004;ZONE 1;EXTERNAL; 150,00 € 
436;DEVELOPMENT;CUSTOMER-0004;MADRID;CONSTRUCTION; 750,00 € ;08/12/2021;YES;PROV-004;ZONE 1;EXTERNAL; 225,00 € 
437;PROJECT;CUSTOMER-0005;BARCELONA;METAL; 950,00 € ;19/06/2019;NO;PROV-004;ZONE 1;EXTERNAL; 285,00 € 
438;TEAMS;CUSTOMER-0005;BARCELONA;METAL; 680,00 € ;01/04/2021;NO;PROV-004;ZONE 1;EXTERNAL; 204,00 € 
439;PROGRAM;CUSTOMER-0006;BARCELONA;BANK; 950,00 € ;13/12/2021;NO;PROV-004;ZONE 1;EXTERNAL; 285,00 € 
440;PROJECT;CUSTOMER-0007;BARCELONA;BANK; 1.500,00 € ;07/09/2020;NO;PROV-005;ZONE 2;INTERNAL; 450,00 € 
441;TEAMS;CUSTOMER-0008;ALICANTE;METAL; 5.000,00 € ;26/05/2020;NO;PROV-003;ZONE 2;INTERNAL; 1.500,00 € 
442;PROGRAM;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 6.500,00 € ;15/04/2019;NO;PROV-005;ZONE 2;INTERNAL; 1.950,00 € 
443;TRAINING;CUSTOMER-0010;MADRID;BANK; 8.500,00 € ;23/03/2021;NO;PROV-005;ZONE 2;INTERNAL; 2.550,00 € 
444;CONSULTING;CUSTOMER-0001;MADRID;METAL; 1.200,00 € ;30/12/2020;YES;PROV-003;ZONE 2;INTERNAL; 360,00 € 
445;DEVELOPMENT;CUSTOMER-0010;MADRID;BANK; 300,00 € ;28/06/2019;YES;PROV-005;ZONE 2;INTERNAL; 90,00 € 
446;PROJECT;CUSTOMER-0001;MADRID;METAL; 200,00 € ;01/08/2020;YES;PROV-003;ZONE 2;INTERNAL; 60,00 € 
447;TEAMS;CUSTOMER-0002;ALICANTE;CONSTRUCTION; 150,00 € ;12/09/2020;YES;PROV-005;ZONE 2;INTERNAL; 45,00 € 
448;CONSULTING;CUSTOMER-0003;MADRID;CONSTRUCTION; 120,00 € ;01/07/2021;YES;PROV-005;ZONE 2;INTERNAL; 36,00 € 
449;DEVELOPMENT;CUSTOMER-0004;MADRID;CONSTRUCTION; 300,00 € ;28/07/2020;YES;PROV-003;ZONE 2;INTERNAL; 90,00 € 
450;PROJECT;CUSTOMER-0005;BARCELONA;METAL; 350,00 € ;01/08/2020;YES;PROV-001;ZONE 1;EXTERNAL; 105,00 € 
451;TEAMS;CUSTOMER-0006;BARCELONA;BANK; 300,00 € ;11/09/2021;NO;PROV-002;ZONE 1;EXTERNAL; 90,00 € 
452;PROGRAM;CUSTOMER-0007;BARCELONA;BANK; 120,00 € ;14/05/2020;NO;PROV-001;ZONE 1;EXTERNAL; 36,00 € 
453;TRAINING;CUSTOMER-0008;ALICANTE;METAL; 150,00 € ;04/02/2020;NO;PROV-005;ZONE 2;INTERNAL; 45,00 € 
454;CONSULTING;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 1.200,00 € ;13/08/2021;NO;PROV-003;ZONE 2;INTERNAL; 360,00 € 
455;DEVELOPMENT;CUSTOMER-0010;MADRID;BANK; 800,00 € ;20/05/2019;NO;PROV-005;ZONE 2;INTERNAL; 240,00 € 
456;PROJECT;CUSTOMER-0004;MADRID;CONSTRUCTION; 750,00 € ;20/03/2021;NO;PROV-005;ZONE 2;INTERNAL; 225,00 € 
457;TEAMS;CUSTOMER-0005;BARCELONA;METAL; 4.500,00 € ;12/04/2021;YES;PROV-003;ZONE 2;INTERNAL; 1.350,00 € 
458;PROGRAM;CUSTOMER-0005;BARCELONA;METAL; 500,00 € ;12/04/2020;YES;PROV-005;ZONE 2;INTERNAL; 150,00 € 
459;TRAINING;CUSTOMER-0006;BARCELONA;BANK; 750,00 € ;11/07/2021;YES;PROV-003;ZONE 2;INTERNAL; 225,00 € 
460;CONSULTING;CUSTOMER-0007;BARCELONA;BANK; 950,00 € ;14/08/2019;YES;PROV-005;ZONE 2;INTERNAL; 285,00 € 
461;DEVELOPMENT;CUSTOMER-0008;ALICANTE;METAL; 680,00 € ;09/09/2021;YES;PROV-005;ZONE 2;INTERNAL; 170,00 € 
462;PROJECT;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 950,00 € ;26/04/2019;YES;PROV-003;ZONE 2;INTERNAL; 237,50 € 
463;TEAMS;CUSTOMER-0010;MADRID;BANK; 1.500,00 € ;24/11/2020;YES;PROV-001;ZONE 1;EXTERNAL; 375,00 € 
464;PROGRAM;CUSTOMER-0001;MADRID;METAL; 5.000,00 € ;23/03/2020;YES;PROV-002;ZONE 1;EXTERNAL; 1.250,00 € 
465;TRAINING;CUSTOMER-0010;MADRID;BANK; 6.500,00 € ;20/03/2021;YES;PROV-001;ZONE 1;EXTERNAL; 1.625,00 € 
466;CONSULTING;CUSTOMER-0001;MADRID;METAL; 8.500,00 € ;08/03/2020;YES;PROV-004;ZONE 1;EXTERNAL; 2.125,00 € 
467;DEVELOPMENT;CUSTOMER-0002;ALICANTE;CONSTRUCTION; 1.200,00 € ;13/05/2020;YES;PROV-004;ZONE 1;EXTERNAL; 300,00 € 
468;PROJECT;CUSTOMER-0003;MADRID;CONSTRUCTION; 300,00 € ;29/07/2019;YES;PROV-004;ZONE 1;EXTERNAL; 75,00 € 
469;TEAMS;CUSTOMER-0004;MADRID;CONSTRUCTION; 200,00 € ;25/12/2019;YES;PROV-004;ZONE 1;EXTERNAL; 50,00 € 
470;PROGRAM;CUSTOMER-0005;BARCELONA;METAL; 150,00 € ;05/05/2020;YES;PROV-004;ZONE 1;EXTERNAL; 37,50 € 
471;TRAINING;CUSTOMER-0006;BARCELONA;BANK; 120,00 € ;17/04/2019;YES;PROV-005;ZONE 2;INTERNAL; 30,00 € 
472;CONSULTING;CUSTOMER-0007;BARCELONA;BANK; 300,00 € ;19/03/2019;YES;PROV-003;ZONE 2;INTERNAL; 75,00 € 
473;DEVELOPMENT;CUSTOMER-0008;ALICANTE;METAL; 350,00 € ;16/08/2021;YES;PROV-005;ZONE 2;INTERNAL; 87,50 € 
474;PROJECT;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 300,00 € ;31/07/2021;YES;PROV-005;ZONE 2;INTERNAL; 75,00 € 
475;TEAMS;CUSTOMER-0010;MADRID;BANK; 120,00 € ;27/05/2019;YES;PROV-003;ZONE 2;INTERNAL; 30,00 € 
476;PROGRAM;CUSTOMER-0004;MADRID;CONSTRUCTION; 150,00 € ;14/08/2019;YES;PROV-005;ZONE 2;INTERNAL; 37,50 € 
477;TRAINING;CUSTOMER-0005;BARCELONA;METAL; 8.500,00 € ;25/06/2019;YES;PROV-003;ZONE 2;INTERNAL; 2.125,00 € 
478;CONSULTING;CUSTOMER-0006;BARCELONA;BANK; 1.200,00 € ;27/10/2020;NO;PROV-005;ZONE 2;INTERNAL; 300,00 € 
479;DEVELOPMENT;CUSTOMER-0007;BARCELONA;BANK; 300,00 € ;24/07/2020;NO;PROV-005;ZONE 2;INTERNAL; 75,00 € 
480;PROJECT;CUSTOMER-0003;MADRID;CONSTRUCTION; 200,00 € ;10/04/2020;NO;PROV-003;ZONE 2;INTERNAL; 50,00 € 
481;TEAMS;CUSTOMER-0004;MADRID;CONSTRUCTION; 150,00 € ;30/06/2020;NO;PROV-001;ZONE 1;EXTERNAL; 37,50 € 
482;CONSULTING;CUSTOMER-0005;BARCELONA;METAL; 120,00 € ;08/07/2019;NO;PROV-002;ZONE 1;EXTERNAL; 30,00 € 
483;DEVELOPMENT;CUSTOMER-0005;BARCELONA;METAL; 300,00 € ;14/05/2019;NO;PROV-001;ZONE 1;EXTERNAL; 75,00 € 
484;PROJECT;CUSTOMER-0006;BARCELONA;BANK; 350,00 € ;08/12/2020;NO;PROV-005;ZONE 2;INTERNAL; 87,50 € 
485;TEAMS;CUSTOMER-0007;BARCELONA;BANK; 300,00 € ;14/02/2019;YES;PROV-005;ZONE 2;INTERNAL; 75,00 € 
486;PROGRAM;CUSTOMER-0008;ALICANTE;METAL; 120,00 € ;14/10/2021;YES;PROV-003;ZONE 2;INTERNAL; 30,00 € 
487;TRAINING;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 150,00 € ;16/11/2019;YES;PROV-005;ZONE 2;INTERNAL; 37,50 € 
488;CONSULTING;CUSTOMER-0010;MADRID;BANK; 1.200,00 € ;29/05/2021;YES;PROV-003;ZONE 2;INTERNAL; 300,00 € 
489;DEVELOPMENT;CUSTOMER-0001;MADRID;METAL; 800,00 € ;23/07/2019;YES;PROV-005;ZONE 2;INTERNAL; 200,00 € 
490;PROJECT;CUSTOMER-0010;MADRID;BANK; 750,00 € ;26/01/2019;YES;PROV-005;ZONE 2;INTERNAL; 187,50 € 
491;TEAMS;CUSTOMER-0001;MADRID;METAL; 4.500,00 € ;18/10/2019;YES;PROV-003;ZONE 2;INTERNAL; 1.125,00 € 
492;PROGRAM;CUSTOMER-0002;ALICANTE;CONSTRUCTION; 500,00 € ;30/04/2019;YES;PROV-001;ZONE 1;EXTERNAL; 125,00 € 
493;TRAINING;CUSTOMER-0003;MADRID;CONSTRUCTION; 750,00 € ;23/07/2019;YES;PROV-002;ZONE 1;EXTERNAL; 187,50 € 
494;CONSULTING;CUSTOMER-0004;MADRID;CONSTRUCTION; 950,00 € ;23/11/2020;YES;PROV-001;ZONE 1;EXTERNAL; 237,50 € 
495;DEVELOPMENT;CUSTOMER-0005;BARCELONA;METAL; 680,00 € ;08/08/2021;YES;PROV-005;ZONE 2;INTERNAL; 170,00 € 
496;PROJECT;CUSTOMER-0006;BARCELONA;BANK; 950,00 € ;28/02/2021;YES;PROV-003;ZONE 2;INTERNAL; 380,00 € 
497;TEAMS;CUSTOMER-0007;BARCELONA;BANK; 1.500,00 € ;15/12/2021;YES;PROV-005;ZONE 2;INTERNAL; 600,00 € 
498;PROGRAM;CUSTOMER-0008;ALICANTE;METAL; 5.000,00 € ;17/07/2019;YES;PROV-005;ZONE 2;INTERNAL; 2.000,00 € 
499;TRAINING;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 6.500,00 € ;01/03/2020;YES;PROV-003;ZONE 2;INTERNAL; 1.625,00 € 
500;CONSULTING;CUSTOMER-0010;MADRID;BANK; 1.200,00 € ;14/06/2021;YES;PROV-005;ZONE 2;INTERNAL; 300,00 € 
501;DEVELOPMENT;CUSTOMER-0004;MADRID;CONSTRUCTION; 800,00 € ;09/09/2019;YES;PROV-003;ZONE 2;INTERNAL; 200,00 € 
502;DEVELOPMENT;CUSTOMER-0005;BARCELONA;METAL; 750,00 € ;20/12/2021;YES;PROV-005;ZONE 2;INTERNAL; 187,50 € 
503;PROJECT;CUSTOMER-0005;BARCELONA;METAL; 4.500,00 € ;17/12/2020;YES;PROV-005;ZONE 2;INTERNAL; 1.125,00 € 
504;TEAMS;CUSTOMER-0006;BARCELONA;BANK; 500,00 € ;14/10/2019;YES;PROV-003;ZONE 2;INTERNAL; 125,00 € 
505;PROGRAM;CUSTOMER-0007;BARCELONA;BANK; 750,00 € ;09/12/2020;NO;PROV-001;ZONE 1;EXTERNAL; 187,50 € 
506;TRAINING;CUSTOMER-0008;ALICANTE;METAL; 950,00 € ;01/05/2021;NO;PROV-002;ZONE 1;EXTERNAL; 237,50 € 
507;CONSULTING;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 680,00 € ;14/12/2021;NO;PROV-001;ZONE 1;EXTERNAL; 170,00 € 
508;DEVELOPMENT;CUSTOMER-0010;MADRID;BANK; 950,00 € ;08/09/2019;NO;PROV-004;ZONE 1;EXTERNAL; 237,50 € 
509;PROJECT;CUSTOMER-0001;MADRID;METAL; 1.500,00 € ;10/06/2019;NO;PROV-004;ZONE 1;EXTERNAL; 375,00 € 
510;TEAMS;CUSTOMER-0010;MADRID;BANK; 5.000,00 € ;21/05/2019;NO;PROV-004;ZONE 1;EXTERNAL; 1.250,00 € 
511;PROGRAM;CUSTOMER-0001;MADRID;METAL; 6.500,00 € ;20/12/2020;NO;PROV-004;ZONE 1;EXTERNAL; 1.625,00 € 
512;TRAINING;CUSTOMER-0002;ALICANTE;CONSTRUCTION; 8.500,00 € ;10/03/2021;YES;PROV-004;ZONE 1;EXTERNAL; 2.125,00 € 
513;CONSULTING;CUSTOMER-0003;MADRID;CONSTRUCTION; 1.200,00 € ;07/02/2019;YES;PROV-005;ZONE 2;INTERNAL; 300,00 € 
514;DEVELOPMENT;CUSTOMER-0004;MADRID;CONSTRUCTION; 300,00 € ;05/07/2021;YES;PROV-003;ZONE 2;INTERNAL; 75,00 € 
515;PROJECT;CUSTOMER-0005;BARCELONA;METAL; 200,00 € ;26/01/2021;YES;PROV-005;ZONE 2;INTERNAL; 50,00 € 
516;TEAMS;CUSTOMER-0006;BARCELONA;BANK; 150,00 € ;10/11/2020;YES;PROV-005;ZONE 2;INTERNAL; 37,50 € 
517;PROGRAM;CUSTOMER-0007;BARCELONA;BANK; 120,00 € ;19/08/2021;YES;PROV-003;ZONE 2;INTERNAL; 30,00 € 
518;PROJECT;CUSTOMER-0008;ALICANTE;METAL; 300,00 € ;16/05/2021;YES;PROV-005;ZONE 2;INTERNAL; 75,00 € 
519;TEAMS;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 350,00 € ;12/07/2021;YES;PROV-003;ZONE 2;INTERNAL; 87,50 € 
520;PROGRAM;CUSTOMER-0010;MADRID;BANK; 300,00 € ;15/04/2019;YES;PROV-005;ZONE 2;INTERNAL; 75,00 € 
521;TRAINING;CUSTOMER-0004;MADRID;CONSTRUCTION; 120,00 € ;27/12/2019;YES;PROV-005;ZONE 2;INTERNAL; 30,00 € 
